Student Numeber;Name;Subject;Grade
101;Andri;Programming Basic;80
102;Budi;Programming Basic;90
103;Cika;Programming Basic;100
104;Dedi;Programming Basic;100
105;Eka ;Programming Basic;50
106;Feri;Programming Basic;40
107;Galih;Programming Basic;70
108;Huda;Programming Basic;70
109;Intan;Programming Basic;60
101;Andri;Web Programming;70
102;Budi;Web Programming;80
103;Cika;Web Programming;80
104;Dedi;Web Programming;90
105;Eka ;Web Programming;90
106;Feri;Web Programming;60
107;Galih;Web Programming;95
108;Huda;Web Programming;85
109;Intan;Web Programming;90
